param,    ,    ,RobustDet,   ,   ,      ,Hoeffding,   ,   ,GAP   ,Monte-Carlo,   ,   ,
PA   ,coPi,epsi,#CL      ,#UF,#CM,#ElaTi,#CL      ,#UF,#CM,#ElaTi,#CL        ,#UF,#CM,#ElaTi
0    ,0.05,0.05,276      ,13 ,13 ,24.18 ,260      ,11 ,13 ,20.89 ,165        ,4  ,11 ,"2,267.90"
0    ,0.05,0.10,276      ,13 ,13 ,27.75 ,230      ,12 ,12 ,12.62 ,155        ,3  ,11 ,"1,874.15"
0    ,0.05,0.15,276      ,13 ,13 ,26.11 ,218      ,10 ,12 ,18.60 ,147        ,3  ,11 ,"1,627.20"
0    ,0.05,0.20,276      ,13 ,13 ,26.06 ,193      ,9  ,12 ,20.31 ,149        ,4  ,11 ,"1,586.39"
0    ,0.05,0.25,276      ,13 ,13 ,25.69 ,206      ,8  ,12 ,11.08 ,142        ,3  ,11 ,"1,560.20"
0    ,0.10,0.05,128      ,3  ,11 ,8.83  ,118      ,2  ,11 ,7.93  ,96         ,1  ,11 ,"1,428.87"
0    ,0.10,0.10,128      ,3  ,11 ,9.88  ,114      ,2  ,11 ,8.11  ,67         ,0  ,11 ,808.32
0    ,0.10,0.15,128      ,3  ,11 ,8.98  ,114      ,1  ,11 ,9.15  ,53         ,0  ,11 ,578.40
0    ,0.10,0.20,128      ,3  ,11 ,8.27  ,115      ,1  ,11 ,8.27  ,40         ,0  ,11 ,348.89
0    ,0.10,0.25,128      ,3  ,11 ,8.86  ,113      ,1  ,11 ,8.55  ,39         ,0  ,11 ,368.84
0    ,0.15,0.05,72       ,0  ,11 ,2.55  ,62       ,0  ,11 ,3.13  ,22         ,0  ,11 ,193.63
0    ,0.15,0.10,72       ,0  ,11 ,1.98  ,42       ,0  ,11 ,1.77  ,19         ,0  ,11 ,180.00
0    ,0.15,0.15,72       ,0  ,11 ,1.68  ,39       ,0  ,11 ,1.75  ,15         ,0  ,11 ,156.91
0    ,0.15,0.20,72       ,0  ,11 ,1.86  ,37       ,0  ,11 ,1.41  ,11         ,0  ,11 ,97.80
0    ,0.15,0.25,72       ,0  ,11 ,1.62  ,35       ,0  ,11 ,1.76  ,10         ,0  ,11 ,95.71
15   ,0.05,0.05,272      ,15 ,14 ,29.91 ,261      ,9  ,16 ,25.70 ,178        ,2  ,14 ,"2,217.22"
15   ,0.05,0.10,272      ,15 ,14 ,30.76 ,241      ,13 ,14 ,18.51 ,173        ,3  ,14 ,"2,624.45"
15   ,0.05,0.15,272      ,15 ,14 ,31.64 ,233      ,4  ,14 ,12.96 ,157        ,2  ,14 ,"2,055.12"
15   ,0.05,0.20,272      ,15 ,14 ,30.49 ,215      ,9  ,14 ,12.05 ,156        ,1  ,14 ,"2,680.39"
15   ,0.05,0.25,272      ,15 ,14 ,31.53 ,211      ,8  ,14 ,12.63 ,156        ,1  ,14 ,"2,363.03"
15   ,0.10,0.05,137      ,2  ,14 ,10.79 ,126      ,2  ,14 ,9.03  ,69         ,0  ,14 ,994.31
15   ,0.10,0.10,137      ,2  ,14 ,9.95  ,126      ,1  ,14 ,8.99  ,52         ,0  ,14 ,771.11
15   ,0.10,0.15,137      ,2  ,14 ,9.94  ,123      ,0  ,14 ,9.38  ,49         ,0  ,14 ,673.50
15   ,0.10,0.20,137      ,2  ,14 ,10.00 ,111      ,0  ,14 ,6.70  ,46         ,0  ,14 ,577.38
15   ,0.10,0.25,137      ,2  ,14 ,9.46  ,116      ,1  ,14 ,9.55  ,42         ,0  ,14 ,468.15
15   ,0.15,0.05,74       ,1  ,14 ,9.82  ,53       ,0  ,14 ,1.75  ,25         ,0  ,14 ,296.24
15   ,0.15,0.10,74       ,1  ,14 ,10.55 ,52       ,0  ,14 ,2.38  ,21         ,0  ,14 ,246.30
15   ,0.15,0.15,74       ,1  ,14 ,9.72  ,43       ,0  ,14 ,1.55  ,17         ,0  ,14 ,256.52
15   ,0.15,0.20,74       ,1  ,14 ,10.20 ,43       ,0  ,14 ,1.72  ,14         ,0  ,14 ,205.04
15   ,0.15,0.25,74       ,1  ,14 ,10.50 ,39       ,0  ,14 ,1.48  ,12         ,0  ,14 ,192.00
